URL,Title,Description,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Box Office (Gross USA),Runtime,Distributor,Production Co,Sound Mix,Release Date (Streaming),Aspect Ratio,View the collection
https://www.rottentomatoes.com/m/monica_2022,Monica,"
                    Monica is an intimate portrait of a woman who, for the first time in 20 years, returns home to the Midwest to take care of her ailing mother. Through the themes of abandonment, aging, rejection, acceptance and forgiveness, we get to know Monica and her world made of pain, fear but also courage. A journey through the needs and desires of a woman who opens a cognitive look at the human condition.
                ",R (Language|Sexual Content|Nudity),Drama,English,Andrea Pallaoro,"Gina Resnick, Christina Dow, Eleonora Granata-Jenkinson, Andrea Pallaoro","Andrea Pallaoro, Orlando Tirado","May 12, 2023 limited",$27.9K,1h 54m,IFC Films,"Alacran Pictures, Propaganda Italia, Varient, Melograno Films, Solo Five Productions, Fenix Entertainment",Dolby Digital,,,
https://www.rottentomatoes.com/m/john_wick_chapter_4,John Wick: Chapter 4,"
                    John Wick (Keanu Reeves) uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.
                ",R (Some Language|Pervasive Strong Violence),Action,English,Chad Stahelski,"Basil Iwanyk, Erica Lee, Chad Stahelski","Shay Hatten, Michael Finch","Mar 24, 2023 wide",$185.3M,2h 49m,Lionsgate,"Summit Entertainment, 87eleven, Thunder Road Pictures",Dolby Atmos,"May 23, 2023",Digital 2.39:1,
https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves,Dungeons & Dragons: Honor Among Thieves,"
                    A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people. Dungeons & Dragons: Honor Among Thieves brings the rich world and playful spirit of the legendary roleplaying game to the big screen in a hilarious and action-packed adventure.
                ",PG-13 (Some Language|Fantasy Action/Violence),"Fantasy, Adventure, Action, Comedy",English,"Jonathan M. Goldstein, John Francis Daley","Jeremy Latcham, Brian Goldner, Nick Meyer","Jonathan M. Goldstein, John Francis Daley, Michael Gilio, Chris McKay","Mar 31, 2023 wide",$92.9M,2h 14m,Paramount Pictures,"Allspark Pictures, Hasbro Studios","Dolby Digital, Dolby Atmos","May 2, 2023",Digital 2.39:1,
https://www.rottentomatoes.com/m/beau_is_afraid,Beau Is Afraid,"
                    A paranoid man embarks on an epic odyssey to get home to his mother in this bold and ingeniously depraved new film from writer/director Ari Aster.
                ",R (Graphic Nudity|Drug Use|Language|Sexual Content|Strong Violent Content),"Comedy, Drama, Horror",English,Ari Aster,"Lars Knudsen, Ari Aster",Ari Aster,"Apr 21, 2023 wide",$8.1M,2h 59m,A24,"A24, IPR.VC, Square Peg",Dolby Digital,,Flat (1.85:1),
https://www.rottentomatoes.com/m/turn_every_page_the_adventures_of_robert_caro_and_robert_gottlieb,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,"
                    A documentary about the remarkable fifty-year relationship between two literary legends, writer Robert Caro and his longtime editor Robert Gottlieb. Now 86, Caro is working to complete the final volume of his masterwork, The Years of Lyndon Johnson; Gottlieb, 90, waits to edit it. The task of finishing their life's work looms before them. Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb is an intimate look into artistry, mortality, antagonism, and the transformative power of creative collaboration.
                ",PG-13 (Brief War Images|Some Language|Smoking),"Documentary, Biography",English,Lizzie Gottlieb,"Joanne Nerenberg, Jen Small, Lizzie Gottlieb",,"Dec 30, 2022 limited",$335.3K,1h 52m,Sony Pictures Classics,"Young Love Productions, Left/Right, Wild Surmise, Topic Studios",,,,
https://www.rottentomatoes.com/m/moon_garden,Moon Garden,"
                    When a little girl has a terrible accident and slips into a coma, she finds herself thrust into a darkly surreal industrial dreamworld. Haunted by a nightmarish spectre that feeds off her tears, she must follow her mother's radio-static voice to find her way back to consciousness. Shot on expired 35mm film stock with vintage rehoused lenses, MOON GARDEN is a fantastical odyssey and a visionary, handcrafted, and fully practical work of art that shows how a child can shine light even in the darkest places.
                ",,"Fantasy, Drama",English,Ryan Stevens Harris,John Michael Elfers,Ryan Stevens Harris,"May 19, 2023 limited",,1h 33m,Oscilloscope Laboratories,Fire Trial Films,,,Digital 2.39:1,
https://www.rottentomatoes.com/m/sanctuary_2022,Sanctuary,"
                    Set over the course of one night in a single hotel room, ""Sanctuary"" tells the story of a dominatrix (Margaret Qualley) and Hal (Christopher Abbott), her wealthy client. About to inherit his late father's position and fortune, Hal tries to end their relationship, but when his attempt to cut ties backfires, disaster ensues.
                ",R (Sexual Content and Language),"Comedy, Drama, Mystery & thriller",English,Zachary Wigon,"Pavel Burian, David Lancaster, Ilya Stewart, Stephanie Wilcox",Micah Bloomberg,"May 19, 2023 limited",$65.0K,1h 36m,NEON,"Hype Studios, Mosaic Films, Rumble Films (II), Charades",,,,
https://www.rottentomatoes.com/m/guy_ritchies_the_covenant,Guy Ritchie's The Covenant,"
                    Guy Ritchie's The Covenant follows US Army Sergeant John Kinley (Jake Gyllenhaal) and Afghan interpreter Ahmed (Dar Salim). After an ambush, Ahmed goes to Herculean lengths to save Kinley’s life. When Kinley learns that Ahmed and his family were not given safe passage to America as promised, he must repay his debt by returning to the war zone to retrieve them before the Taliban hunts them down first.
                ",R (Brief Drug Content|Violence|Language Throughout),"War, Drama, Action, Crime, Mystery & thriller",English,Guy Ritchie,"Guy Ritchie, Ivan Atkinson, John Friedberg, Josh Berger","Guy Ritchie, Ivan Atkinson, Marn Davies","Apr 21, 2023 wide",$16.7M,2h 3m,United Artists Releasing,"STX Films, Toff Guy",,"May 9, 2023",,
https://www.rottentomatoes.com/m/sick_of_myself,Sick of Myself,"
                    Signe (Kristine Kujath Thorp) and Thomas (Eirik Sæther) are in an unhealthy, competitive relationship that takes a vicious turn when Thomas suddenly breaks through as a contemporary artist. In response, Signe makes a desperate attempt to regain her status by creating a new persona hell-bent on attracting attention and sympathy.
                ",,"Comedy, Drama",Norwegian,Kristoffer Borgli,"Andrea Berentsen Ottmar, Dyveke Bjørkly Graver",Kristoffer Borgli,"Apr 12, 2023 limited",$94.7K,1h 37m,Utopia,"Garagefilm International AB, Film i Väst, Oslo Pictures",,,,
https://www.rottentomatoes.com/m/blackberry,BlackBerry,"
                    'BlackBerry' tells the story of Mike Lazaridis and Jim Balsillie, the two men that charted the course of the spectacular rise and catastrophic demise of the world's first smartphone.
                ",R (Language Throughout),"Comedy, Drama, History",English,Matt Johnson,"Niv Fichman, Matt Miller, Fraser Ash, Kevin Krikst","Matt Johnson, Matt Miller","May 12, 2023 limited",$1.0M,1h 59m,IFC Films,"IPR.VC, Ontario Creates, Rhombus Media, Téléfilm Canada, Zapruder Films, Canadian Broadcasting Corporation",Dolby Digital,,,
